Yard: -99; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  -9; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  -8; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  -7; y_true:   0; y_pred:  0.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  -6; y_true:   0; y_pred:  0.00001; Heaviside Result:  0.00001; Result squared:  0.00000
Yard:  -5; y_true:   0; y_pred:  0.00003; Heaviside Result:  0.00003; Result squared:  0.00000
Yard:  -4; y_true:   0; y_pred:  0.00012; Heaviside Result:  0.00012; Result squared:  0.00000
Yard:  -3; y_true:   0; y_pred:  0.00045; Heaviside Result:  0.00045; Result squared:  0.00000
Yard:  -2; y_true:   0; y_pred:  0.00195; Heaviside Result:  0.00195; Result squared:  0.00000
Yard:  -1; y_true:   0; y_pred:  0.00644; Heaviside Result:  0.00644; Result squared:  0.00004
Yard:   0; y_true:   0; y_pred:  0.02530; Heaviside Result: -0.97470; Result squared:  0.95004
Yard:   1; y_true:   0; y_pred:  0.08857; Heaviside Result: -0.91143; Result squared:  0.83070
Yard:   2; y_true:   0; y_pred:  0.16752; Heaviside Result: -0.83248; Result squared:  0.69302
Yard:   3; y_true:   0; y_pred:  0.31730; Heaviside Result: -0.68270; Result squared:  0.46608
Yard:   4; y_true:   0; y_pred:  0.51742; Heaviside Result: -0.48258; Result squared:  0.23288
Yard:   5; y_true:   0; y_pred:  0.72240; Heaviside Result: -0.27760; Result squared:  0.07706
Yard:   6; y_true:   0; y_pred:  0.84591; Heaviside Result: -0.15409; Result squared:  0.02375
Yard:   7; y_true:   0; y_pred:  0.92950; Heaviside Result: -0.07050; Result squared:  0.00497
Yard:   8; y_true:   1; y_pred:  0.96911; Heaviside Result: -0.03089; Result squared:  0.00095
Yard:   9; y_true:   1; y_pred:  0.98833; Heaviside Result: -0.01167; Result squared:  0.00014
Yard:  10; y_true:   1; y_pred:  0.99432; Heaviside Result: -0.00568; Result squared:  0.00003
Yard:  11; y_true:   1; y_pred:  0.99803; Heaviside Result: -0.00197; Result squared:  0.00000
Yard:  12; y_true:   1; y_pred:  0.99916; Heaviside Result: -0.00084; Result squared:  0.00000
Yard:  13; y_true:   1; y_pred:  0.99964; Heaviside Result: -0.00036; Result squared:  0.00000
Yard:  14; y_true:   1; y_pred:  0.99990; Heaviside Result: -0.00010; Result squared:  0.00000
Yard:  15; y_true:   1; y_pred:  0.99997; Heaviside Result: -0.00003; Result squared:  0.00000
Yard:  16; y_true:   1; y_pred:  0.99998; Heaviside Result: -0.00002; Result squared:  0.00000
Yard:  17; y_true:   1; y_pred:  0.99999; Heaviside Result: -0.00001; Result squared:  0.00000
Yard:  18; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  19; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  20; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  21; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  22; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  23; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  24; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  25; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  26; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  27; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  28; y_true:   1; y_pred:  1.00000; Heaviside Result: -0.00000; Result squared:  0.00000
Yard:  29; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  30; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  31; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  32; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  33; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  34; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  35; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  36; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  37; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  38; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  39; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  40; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  41; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  42; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  43; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  44; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  45; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  46; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  47; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  48; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  49; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  50; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  51; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  52; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  53; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  54; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  55; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  56; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  57; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  58; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  59; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  60; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  61; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  62; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  63; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  64; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  65; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  66; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  67; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  68; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  69; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  70; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  71; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  72; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  73; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  74; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  75; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  76; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  77; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  78; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  79; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  80; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  81; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  82; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  83; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  84; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  85; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  86; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  87; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  88; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  89; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  90; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  91; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  92; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  93; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  94; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  95; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  96; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  97; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  98; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
Yard:  99; y_true:   1; y_pred:  1.00000; Heaviside Result:  0.00000; Result squared:  0.00000
